id;license_plate;name;seats
1;1;Fiat;5
2;Towels Gorgeous Plastic Bike New Israeli Sheqel;maroon Profit-focused Haiti;18519
3;Right-sized;Table Nebraska;69068
4;Auto Loan Account Security Health;Forward Front-line non-volatile;26525
5;Operations;Refined Frozen Tuna;27784
6;web-readiness;Sleek;76608
7;Cambodia efficient Personal Loan Account;deposit Maryland;16026
8;optimize Sausages;Handmade;87002
9;virtual invoice;Sleek Frozen Table Fully-configurable;3723
10;connect leading edge synthesizing;Practical Investor experiences;30772
