id;start_time;duration;distance;end_place;start_place;cost
1;2020-01-08;12556;50568;Refined;Investor Mali well-modulated;76153
2;2020-01-08;35989;73763;Auto Loan Account iterate navigate;leading-edge;8917
3;2020-01-08;31749;31584;cross-media;Platinum;28651
4;2020-01-07;79954;13991;program Wooden;pixel;63457
5;2020-01-08;81539;77180;optical;Outdoors Keyboard Mountain;78803
6;2020-01-08;25478;84700;Kina;users Surinam Dollar overriding;59168
7;2020-01-08;4472;7086;driver Pizza Applications;Manager bandwidth Fish;73797
8;2020-01-07;77155;38227;Direct;digital Rustic Rubber Car American Samoa;67041
9;2020-01-07;69720;76715;Concrete;revolutionary SMS;88740
10;2020-01-07;79484;46445;Electronics Auto Loan Account Avenue;full-range driver Optional;26014
